n_pcs,resolution,silhouette_score
10,0.1,-0.055987436
10,0.30000000000000004,-0.051560614
10,0.5,-0.04202277
10,0.7000000000000001,-0.037424535
10,0.9,-0.037424535
11,0.1,-0.05017036
11,0.30000000000000004,-0.05017036
11,0.5,-0.04782905
11,0.7000000000000001,-0.03809056
11,0.9,-0.034659065
12,0.1,-0.050998382
12,0.30000000000000004,-0.050998382
12,0.5,-0.04609809
12,0.7000000000000001,-0.03448275
12,0.9,-0.035478167
13,0.1,-0.052372064
13,0.30000000000000004,-0.052372064
13,0.5,-0.047489
13,0.7000000000000001,-0.04846171
13,0.9,-0.036225937
14,0.1,-0.050998382
14,0.30000000000000004,-0.052951004
14,0.5,-0.047489
14,0.7000000000000001,-0.041612327
14,0.9,-0.040044103
15,0.1,-0.060124684
15,0.30000000000000004,-0.052372064
15,0.5,-0.047894374
15,0.7000000000000001,-0.041279543
15,0.9,-0.040186517
16,0.1,-0.060124684
16,0.30000000000000004,-0.052951004
16,0.5,-0.047498338
16,0.7000000000000001,-0.04543594
16,0.9,-0.040522255
17,0.1,-0.05910069
17,0.30000000000000004,-0.050998382
17,0.5,-0.047430523
17,0.7000000000000001,-0.047430523
17,0.9,-0.03709202
18,0.1,-0.05910069
18,0.30000000000000004,-0.050998382
18,0.5,-0.047430523
18,0.7000000000000001,-0.04486752
18,0.9,-0.03574005
19,0.1,-0.060106914
19,0.30000000000000004,-0.05280298
19,0.5,-0.045453873
19,0.7000000000000001,-0.041311897
19,0.9,-0.041311897
