n_pcs,resolution,silhouette_score
5,0.1,0.0074418886
5,0.30000000000000004,-0.013955458
5,0.5,-0.006450835
5,0.7000000000000001,-0.023052989
5,0.9,-0.045948975
6,0.1,0.038122077
6,0.30000000000000004,-0.02244727
6,0.5,-0.012476772
6,0.7000000000000001,-0.04813906
6,0.9,-0.033446483
7,0.1,0.0241584
7,0.30000000000000004,-0.025091622
7,0.5,-0.028282564
7,0.7000000000000001,-0.017653044
7,0.9,-0.03399669
8,0.1,0.023267765
8,0.30000000000000004,-0.0035432687
8,0.5,-0.02697671
8,0.7000000000000001,-0.017997358
8,0.9,-0.023637732
9,0.1,0.023017267
9,0.30000000000000004,-0.0031606862
9,0.5,-0.027457802
9,0.7000000000000001,-0.018952582
9,0.9,-0.024513068
10,0.1,0.023653483
10,0.30000000000000004,-0.0035620895
10,0.5,-0.030375408
10,0.7000000000000001,-0.017755037
10,0.9,-0.037119336
11,0.1,0.023828564
11,0.30000000000000004,-0.0025360943
11,0.5,-0.026206397
11,0.7000000000000001,-0.033203367
11,0.9,-0.02945602
12,0.1,0.022320656
12,0.30000000000000004,0.002122032
12,0.5,-0.007761602
12,0.7000000000000001,-0.020138916
12,0.9,-0.018150538
13,0.1,0.022320656
13,0.30000000000000004,0.0021836592
13,0.5,-0.03143338
13,0.7000000000000001,-0.023003511
13,0.9,-0.015783079
14,0.1,0.03181461
14,0.30000000000000004,0.000996376
14,0.5,-0.022178339
14,0.7000000000000001,-0.020382054
14,0.9,-0.018070145
15,0.1,0.032437325
15,0.30000000000000004,0.0020227793
15,0.5,-0.019157117
15,0.7000000000000001,-0.019154528
15,0.9,-0.02004268
16,0.1,0.031017395
16,0.30000000000000004,0.0012220632
16,0.5,-0.020344771
16,0.7000000000000001,-0.017643051
16,0.9,-0.018073756
17,0.1,0.03182263
17,0.30000000000000004,0.007357474
17,0.5,-0.007858765
17,0.7000000000000001,-0.0132855205
17,0.9,-0.020158663
18,0.1,0.02393549
18,0.30000000000000004,0.007357474
18,0.5,-0.013796081
18,0.7000000000000001,-0.015591391
18,0.9,-0.020151598
19,0.1,0.023937795
19,0.30000000000000004,0.0070117093
19,0.5,-0.014944536
19,0.7000000000000001,-0.014147242
19,0.9,-0.013351916
20,0.1,0.024800844
20,0.30000000000000004,0.0035967717
20,0.5,-0.0065517714
20,0.7000000000000001,-0.0110806655
20,0.9,-0.010828545
